name,tag1,tag2,tag3
asset_117,prayer,hands,
asset_53,pillow,sleep,bed
asset_83,clock,time,
bed9,sleep,,
evening,sunset,,
pills2,medicine,vitamin,
pills4,medicine,vitamin,
religion1,bible,church,
calendar1,dates,,
video4,youtube,movie,
video6,movie,youtube,
put_on_watch_2,,,
put_on_watch_1,,,
piano_1,,,
piano_2,,,
piano_3,,,
