grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
100,B,64,6,,B-64-6,Noun,#ffae37,18.1,A-D,caller,https://drive.google.com/file/d/1ikz2JQJID03vGUMfxsovIde4BQuRkAr9/view?usp=sharing,#N/A,peraaaaaa.svg
100,B,64,4,,B-64-4,verb,#20d35e,18.1,A-D,calling,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingddd.svg
100,B,64,2,,B-64-2,verb,#20d35e,18.1,A-D,calls,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssdo.svg
100,B,61,1,,B-61-1,verb,#20d35e,18.1,A-D,can,https://drive.google.com/file/d/1vkGVyaR5JI5xLhGeoU5kkK5G_4bxVVk5/view?usp=sharing,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/can%20able.jpg,can.svg
100,B,61,3,,B-61-3,verb,#20d35e,18.1,A-D,can't,https://drive.google.com/file/d/1IjgQO9LfjhONl2zkcoomcvLZwGpFGp3F/view?usp=sharing,,cant.svg
100,B,65,1,,B-65-1,verb,#20d35e,18.1,A-D,change,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/change.jpg,#N/A,change.jpg
100,B,65,3,,B-65-3,verb,#20d35e,18.1,A-D,changed,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,#N/A,edffff.svg
100,B,65,2,,B-65-2,verb,#20d35e,18.1,A-D,changes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssdo.svg
100,B,65,4,,B-65-4,verb,#20d35e,18.1,A-D,changing,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingdddd.svg
100,B,84,1,,B-84-1,adjective,#1983e5,3.1,General,cold,U+1F976,🥶,
100,B,84,2,,B-84-2,adjective,#1983e5,3.1,General,colder,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,rec.svg
100,B,84,3,,B-84-3,adjective,#1983e5,3.1,General,coldest,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,#N/A,estbbbbbb.svg
100,B,66,1,,B-66-1,verb,#20d35e,18.1,A-D,color,https://drive.google.com/file/d/1rB_VaVrUeB8eBmSsL8069LEV7VamEF71/view?usp=sharing,#N/A,f3271lsqass3sce.svg
100,B,66,3,,B-66-3,verb,#20d35e,18.1,A-D,colored,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,#N/A,edfffff.svg
100,B,66,4,,B-66-4,verb,#20d35e,18.1,A-D,coloring,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingddddd.svg
100,B,66,2,,B-66-2,verb,#20d35e,18.1,A-D,colors,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,f3271lsqasss3sce.svg
100,B,84,4,,B-84-4,adjective,#1983e5,3.1,General,cool,https://drive.google.com/file/d/1ib84VE1VSWT5UnzmYDJ8cneYlldCmHNc/view?usp=sharing,,cool.svg
100,B,84,5,,B-84-5,adjective,#1983e5,3.1,General,cooler,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,recc.svg
100,B,84,6,,B-84-6,adjective,#1983e5,3.1,General,coolest,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,,estc.svg
100,B,61,2,,B-61-2,verb,#20d35e,18.1,A-D,could,https://drive.google.com/file/d/1OjSlf67IrtC1xFVVATg62p6EschCS9SM/view?usp=sharing,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/can%20able.jpg,could.svg
100,B,71,1,,B-71-1,verb,#20d35e,18.1,A-D,dress,https://drive.google.com/file/d/17TS6ocjA47tTeDsBiok13Lafrjl-JmjN/view?usp=sharing,#N/A,dress.svg
