name,tag1,tag2,tag3
asset_34,cat,pet,
asset_42,fish,,
bird1,animal,,
bone1,dog,,
bunny1,rabbit,,
cat1,,,
catfood1,food,,
dog1,,,
dogfood1,food,,
fish4,,,
leash1,dog,collar,
